city,name,phone,address,source,has_whatsapp,status
Воронеж,Помощник 36,74732932750,"ул. 45 Стрелковой дивизии, 234/19",pomoshnik36.ru,True,new
Воронеж,Прокат ВРН,74732907276,"ул. 60 армии, 29А",prokatvrn.ru,True,new
Воронеж,Прокат36,74733003618,"ул. Кривошеина, 15, офис 223А",prokat36.ru,True,new
Воронеж,Прокат36 моб.,79515549111,"ул. Кривошеина, 15",prokat36.ru,True,new
Воронеж,Стахановец.рф Воронеж,79206215999,"пер. Отличников, д.1Б",stahanovec.ru,True,new
Екатеринбург,АрендаСтрой Екатеринбург,73432074877,"ул. Крауля, 168А",arendastro.ru,True,new
Екатеринбург,ИнструментБург,73432264443,г. Екатеринбург,instrumentburg.ru,True,new
Екатеринбург,Прокат-Екат,73433020403,г. Екатеринбург,prokat-ekat.com,True,new
Иркутск,Стахановец.рф Иркутск,79209040888,"ул. Полярная, д. 109",stahanovec.ru,True,new
Казань,Аренда инструмента Казань Победы,78432464611,"Проспект Победы, 206",arenda-instrumentov.ru,True,new
Казань,Стахановец.рф Казань,79372844040,"ул. Сибирский тракт, д.47 к14",stahanovec.ru,True,new
Казань,СтройПрокат Казань,79172272730,"ул. Подлужная, д.67",xn--16-6kc9afwbhgdgmi.xn--p1ai,True,new
Каменск-Шахтинский,Прокат инструмента Ясельная,79381621322,"Ясельная ул., 72",business.site,True,new
Каменск-Шахтинский,Прокат инструмента Ясельная 2,79034307430,"Ясельная ул., 72",spravker.ru,True,new
Каменск-Шахтинский,Стройка-Аренда Каменск,79188967690,г. Каменск-Шахтинский,stroika-arenda.ru,True,new
Комсомольск-на-Амуре,Стахановец.рф Комсомольск,79206212992,"ул. Орловская, 37к2",stahanovec.ru,True,new
Краснодар,Время Проката,79530846970,"ул. им. Лизы Чайкиной, 16",2gis,True,new
Краснодар,Проинструменты24,79615804433,"Есаульская ул., 72 стр1",2gis,True,new
Краснодар,Прокат Северная 16д,79892005153,"Северная ул., 16д, пос. Южный",2gis,True,new
Краснодар,Прокатная компания Андреевская,79882405115,"ул. Андреевская, 2",spravka.city,True,new
Краснодар,РосПрокат 23,78612012501,"Северная ул., 223",2gis,True,new
Краснодар,СТРОЙКА-АРЕНДА Краснодар,79189000000,"Солнечная ул., 25",2gis,True,new
Краснодар,ТЕХ-ПРОКАТ,79183802121,"ул. Уральская, 87/1с2",spravka.city,True,new
Краснодар,Центр проката Школьная,79992335792,"Школьная ул., 13/5",2gis,True,new
Минусинск,Стахановец.рф Минусинск,79235865333,"ул. Чайковского, 27",stahanovec.ru,True,new
Москва,Главпрокат Москва,74952151105,Москва,glavprokat.net,True,new
Москва,Городской Центр Проката,74993505032,"ул. Трофимова, 21 корп.1",gcprent.ru,True,new
Москва,Магазин Проката,74951504382,"Мытищи, Фуражный проезд, 4",magazinprokata.ru,True,new
Москва,МосСтройПрокат,74953746108,"Пятницкое шоссе, 28 стр.1",mosstroyprokat.ru,True,new
Москва,РентБригадир,74993508572,"Большой Волоколамский проезд, 3Б",rentbrigadir.ru,True,new
Мурманск,Стахановец.рф Мурманск,78152567780,"ул. Рогозерская, 34А (территория базы Строймикс)",stahanovec.ru,True,new
Нефтекамск,Стахановец.рф Нефтекамск,79206219888,"ул. Магистральная, д. 2В",stahanovec.ru,True,new
Нижний Новгород,Всё в прокат НН,78312915306,"ул. Памирская, 11 литер М",vsevprokat52.ru,True,new
Нижний Новгород,Прокат инструмента Деловая,78314106644,"ул. Деловая, д. 8 Б",orgpage.ru,True,new
Нижний Новгород,Твой инструмент НН,79308087828,"ул. Новикова-Прибоя, 35",tw-in.ru,True,new
Новокузнецк,Стахановец.рф Новокузнецк,79234607700,"ул. Вокзальная, д. 22",stahanovec.ru,True,new
Новосибирск,НСК Прокат,79137817755,"г. Новосибирск, Академгородок, ул. Пасечная, 1а",nskprokat.ru,True,new
Новосибирск,НСК Прокат 2,79231877755,г. Новосибирск,nskprokat.ru,True,new
Новосибирск,СтройАренда Новосибирск,73832990722,"ул. Ставропольская, 1",xn--54-6kcatf0a8aftdhn.xn--p1ai,True,new
Новочеркасск,Агентство Инструментарий,79515233452,"ул. Гагарина, 33",yandex.maps,True,new
Новочеркасск,Агентство Инструментарий (стац.),78635251150,"ул. Гагарина, 33",yandex.maps,True,new
Новочеркасск,Прокат Инструмента Сарматская,79081787838,"Сарматская ул., 61",spravker.ru,True,new
Новочеркасск,Электро-Бензо Сила,79064286075,"Платовский просп., 101",spravker.ru,True,new
Новошахтинск,Кузница инструмента Новошахтинск,79508523921,"Харьковская ул., 105",big-book-city.ru,True,new
Орел,Стахановец.рф Орел,79208108057,"ул. Тамбовская, 2, помещение 1",stahanovec.ru,True,new
Ростов-на-Дону,MachineStore,78633033093,"Привокзальная ул., 2",spravker.ru,True,new
Ростов-на-Дону,Делай просто,79604685900,"Осенняя ул., 6",spravker.ru,True,new
Ростов-на-Дону,Домино+,79508480868,"Пушкинская ул., 83",2gis,True,new
Ростов-на-Дону,ИнструментМастер,79185854383,"Сортовой пер., 56",2gis,True,new
Ростов-на-Дону,ЛигаСтрой,79001295454,"ул. Миронова, 2",jsprav.ru,True,new
Ростов-на-Дону,ЛИГАстрой,79001344494,"ул. Миронова, 2",2gis,True,new
Ростов-на-Дону,Прок61,79281827504,"ул. Мечникова, 33",2gis,True,new
Ростов-на-Дону,Прокат 61 (филиал),79281573972,"ул. Мечникова, 33",2gis,True,new
Ростов-на-Дону,ПрокатСервис,79889990797,"Енисейская ул., 12, х. Камышеваха",2gis,True,new
Ростов-на-Дону,Стахановец.рф Ростов Вятская,79054852233,"ул. Вятская, д. 40",stahanovec.ru,True,new
Ростов-на-Дону,Стройпрокат (rostovrent.ru),79274884898,"ул. Нансена, 73",rostovrent.ru,True,new
Ростов-на-Дону,Технополис,79287619306,"ул. Вавилова, 62А",jsprav.ru,True,new
Сальск,Металлопрокат Сальск (инструмент),79281245500,г. Сальск,stroiclick.ru,True,new
Самара,Стахановец.рф Самара,79206211888,"ул. Запорожская, 19А",stahanovec.ru,True,new
Санкт-Петербург,Складно Прокат,79310092944,"Малая Митрофаньевская ул., 5к1",skladno.com,True,new
Санкт-Петербург,Стахановец.рф СПб Парнас,79095854060,"ул. Михаила Дудина, 11, оф. 1, м. Парнас",stahanovec.ru,True,new
Санкт-Петербург,Стройка-Аренда СПб,79817398119,"Хрустальная ул., 18В",stroika-arenda.ru,True,new
Санкт-Петербург,ТехноРент СПб,78122451826,"Б. Сампсониевский пр., 60 лит. И",trspb.ru,True,new
Санкт-Петербург,ТехноРент СПб моб.,79052120388,"Б. Сампсониевский пр., 60",trspb.ru,True,new
Саранск,Стахановец.рф Саранск,79206221999,"ул. Строительная, д.34, корпус 4",stahanovec.ru,True,new
Сочи,Прокат Мега Сочи,78622913313,"Виноградный пер., 5",vk.com,True,new
Сочи,Проф_Центр Сочи,79388780022,"ул. Следопытов, 3",vse-naprokat.com,True,new
Сочи,Центр проката Сочи,79882374247,"ул. 20 Горнострелковой дивизии, 16",center-prokat.ru,True,new
Ставрополь,АрендаИ Ставрополь,79624426036,г. Ставрополь,vk.com/arenda_i,True,new
Ставрополь,Михалыч Прокат,79624488748,"ул. Индустриальная, 35",mihalpro.ru,True,new
Ставрополь,СтавПрокат,79187796059,"ул. Селекционная, 3А",prokat-126.orgs.biz,True,new
Ставрополь,СтавПрокат 2,79620081422,"ул. Селекционная, 3А",prokat126.ru,True,new
Стерлитамак,Стахановец.рф Стерлитамак,79206221333,"ул. Профсоюзная, д.2, к1",stahanovec.ru,True,new
Таганрог,Аренда Электроинструмента,79281629020,"Мало-Почтовая ул., 54А",spravker.ru,True,new
Таганрог,Кран Строй,79885452787,ул. Лесная Биржа,spravker.ru,True,new
Таганрог,Прокат инструмента (Вячеслав),79508465027,"ул. Чехова, 120",electroprokat.ru,True,new
Таганрог,Прокат инструмента Чехова,79525650378,"ул. Чехова, 120-3",spravker.ru,True,new
Таганрог,СтальСтрой,79381558002,"Конторская ул., 78",spravker.ru,True,new
Улан-Удэ,Стахановец.рф Улан-Удэ,79244575878,"ул. Ботаническая, д.71, стр.4",stahanovec.ru,True,new
Хабаровск,Стахановец.рф Хабаровск,79206216777,"Проспект 60-летия Октября, д.93а",stahanovec.ru,True,new
Чебоксары,Стахановец.рф Чебоксары,79206218444,"ул. Базовый проезд, д.4Б",stahanovec.ru,True,new
Чита,Стахановец.рф Чита,79244754777,"мкр. Геофизический, д.22с1",stahanovec.ru,True,new
Шахты,MachineStore Шахты,79281485979,"Садовая ул., 15",big-book-city.ru,True,new
Шахты,Гарант Шахты,79185260868,"ул. Громова, 1, офис 3",big-book-city.ru,True,new
Шахты,Кузница инструмента Шахты,79895009338,"Харьковская ул., 105, Новошахтинск",big-book-city.ru,True,new
